Attr 1	Attr 2	Attr 3	Attr 4	Attr 5	Attr 6	Attr 7	Attr 8	Attr 9	
0	1	0	1	0	0	0	0	1	
1	0	0	1	0	0	1	0	0	
1	0	0	1	0	0	1	0	0	
0	1	0	1	0	0	0	1	0	
1	0	0	1	0	0	0	1	0	
0	1	0	1	0	0	0	1	0	
1	0	0	1	0	0	1	0	0	
1	0	0	1	0	0	1	0	0	
0	1	0	0	1	0	0	1	0	
1	0	0	1	0	0	1	0	0	
0	1	0	1	0	0	0	1	0	
1	0	0	1	0	0	1	0	0	
0	1	0	1	0	0	1	0	0	
0	1	0	1	0	0	0	1	0	
1	0	0	1	0	0	0	1	0	
1	0	0	1	0	0	0	1	0	
1	0	0	1	0	0	0	1	0	
1	0	0	1	0	0	1	0	0	
0	1	0	0	1	0	1	0	0	
0	0	1	1	0	0	1	0	0	
1	0	0	0	1	0	1	0	0	
1	0	0	1	0	0	1	0	0	
0	1	0	1	0	0	1	0	0	
1	0	0	1	0	0	1	0	0	
0	1	0	1	0	0	0	1	0	
1	0	0	1	0	0	1	0	0	
0	1	0	1	0	0	0	1	0	
1	0	0	1	0	0	1	0	0	
0	1	0	0	1	0	0	1	0	
1	0	0	1	0	0	1	0	0	
0	1	0	0	1	0	1	0	0	
1	0	0	1	0	0	1	0	0	
0	1	0	0	1	0	1	0	0	
1	0	0	1	0	0	0	1	0	
0	1	0	1	0	0	0	1	0	
0	1	0	1	0	0	1	0	0	
0	1	0	0	1	0	0	1	0	
1	0	0	1	0	0	1	0	0	
0	1	0	1	0	0	1	0	0	
0	1	0	0	1	0	1	0	0	
0	1	0	1	0	0	0	1	0	
0	1	0	1	0	0	0	1	0	
1	0	0	0	1	0	1	0	0	
1	0	0	1	0	0	1	0	0	
0	1	0	1	0	0	1	0	0	
0	1	0	0	1	0	0	1	0	
0	1	0	0	1	0	0	1	0	
1	0	0	1	0	0	1	0	0	
0	1	0	1	0	0	1	0	0	
1	0	0	1	0	0	1	0	0	
1	0	0	1	0	0	1	0	0	
1	0	0	1	0	0	1	0	0	
1	0	0	1	0	0	1	0	0	
0	1	0	0	1	0	0	1	0	
0	1	0	0	1	0	0	1	0	
0	1	0	0	1	0	0	1	0	
0	1	0	0	1	0	1	0	0	
1	0	0	1	0	0	1	0	0	
0	1	0	0	1	0	1	0	0	
1	0	0	1	0	0	1	0	0	
0	1	0	1	0	0	0	0	1	
0	0	1	0	1	0	0	1	0	
0	0	1	0	1	0	0	1	0	
0	1	0	0	1	0	0	1	0	
0	1	0	0	1	0	1	0	0	
0	0	1	0	1	0	0	1	0	
0	0	1	0	1	0	0	1	0	
0	0	1	0	1	0	0	1	0	
0	1	0	0	1	0	0	1	0	
